mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68832, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72234, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66541, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69142, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70150, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69597, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.65386, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73997, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69248, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69712, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74848, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68854, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68893, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72282, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.64195, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68966, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72317, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72726, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74483, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66778, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66365, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69357, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70755, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71827, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66458, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70387, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73770, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69283, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72458, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74051, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69299, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70755, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70090, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71546, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67923, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71155, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.75514, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73158, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67485, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73910, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70832, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74531, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.77990, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70518, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68717, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.79514, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68522, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72310, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67971, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71683, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69693, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71386, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71056, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72224, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66653, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72883, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.64822, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71382, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70694, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68909, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68186, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70467, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68986, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71162, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73014, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70992, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73946, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70342, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72931, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71456, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66899, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71578, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71267, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69914, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71418, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69635, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70381, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70544, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67360, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71466, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70819, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72755, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67440, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69942, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69568, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67530, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67955, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70384, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69958, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69574, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72710, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71094, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68768, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74691, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70736, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72765, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73411, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.78326, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.78586, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74624, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70570, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70048, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68698, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72141, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68858, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69603, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70707, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70614, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67958, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73382, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69562, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71267, verif: -1
