sort_stream Taille_M: 1250, nbthreads: 1024, numblocks: 65535, Temps: 628.78772, verif: -1
sort_stream Taille_M: 1260, nbthreads: 1024, numblocks: 65535, Temps: 622.93616, verif: -1
sort_stream Taille_M: 1270, nbthreads: 1024, numblocks: 65535, Temps: 621.39459, verif: -1
sort_stream Taille_M: 1280, nbthreads: 1024, numblocks: 65535, Temps: 625.77515, verif: -1
sort_stream Taille_M: 1290, nbthreads: 1024, numblocks: 65535, Temps: 641.34302, verif: -1
sort_stream Taille_M: 1300, nbthreads: 1024, numblocks: 65535, Temps: 633.27826, verif: -1
sort_stream Taille_M: 1310, nbthreads: 1024, numblocks: 65535, Temps: 644.45416, verif: -1
sort_stream Taille_M: 1320, nbthreads: 1024, numblocks: 65535, Temps: 643.49969, verif: -1
sort_stream Taille_M: 1330, nbthreads: 1024, numblocks: 65535, Temps: 654.49231, verif: -1
sort_stream Taille_M: 1340, nbthreads: 1024, numblocks: 65535, Temps: 649.73523, verif: -1
sort_stream Taille_M: 1350, nbthreads: 1024, numblocks: 65535, Temps: 661.14746, verif: -1
sort_stream Taille_M: 1360, nbthreads: 1024, numblocks: 65535, Temps: 669.63708, verif: -1
sort_stream Taille_M: 1370, nbthreads: 1024, numblocks: 65535, Temps: 670.35858, verif: -1
sort_stream Taille_M: 1380, nbthreads: 1024, numblocks: 65535, Temps: 663.06622, verif: -1
sort_stream Taille_M: 1390, nbthreads: 1024, numblocks: 65535, Temps: 759.99152, verif: -1
sort_stream Taille_M: 1400, nbthreads: 1024, numblocks: 65535, Temps: 762.64893, verif: -1
sort_stream Taille_M: 1410, nbthreads: 1024, numblocks: 65535, Temps: 675.50293, verif: -1
sort_stream Taille_M: 1420, nbthreads: 1024, numblocks: 65535, Temps: 686.12720, verif: -1
sort_stream Taille_M: 1430, nbthreads: 1024, numblocks: 65535, Temps: 686.59955, verif: -1
sort_stream Taille_M: 1440, nbthreads: 1024, numblocks: 65535, Temps: 692.11096, verif: -1
sort_stream Taille_M: 1450, nbthreads: 1024, numblocks: 65535, Temps: 693.68842, verif: -1
sort_stream Taille_M: 1460, nbthreads: 1024, numblocks: 65535, Temps: 708.56952, verif: -1
sort_stream Taille_M: 1470, nbthreads: 1024, numblocks: 65535, Temps: 790.29419, verif: -1
sort_stream Taille_M: 1480, nbthreads: 1024, numblocks: 65535, Temps: 701.44733, verif: -1
sort_stream Taille_M: 1490, nbthreads: 1024, numblocks: 65535, Temps: 714.84198, verif: -1
sort_stream Taille_M: 1500, nbthreads: 1024, numblocks: 65535, Temps: 799.55487, verif: -1
sort_stream Taille_M: 1510, nbthreads: 1024, numblocks: 65535, Temps: 723.05719, verif: -1
sort_stream Taille_M: 1520, nbthreads: 1024, numblocks: 65535, Temps: 724.85266, verif: -1
sort_stream Taille_M: 1530, nbthreads: 1024, numblocks: 65535, Temps: 722.41205, verif: -1
sort_stream Taille_M: 1540, nbthreads: 1024, numblocks: 65535, Temps: 721.22211, verif: -1
sort_stream Taille_M: 1550, nbthreads: 1024, numblocks: 65535, Temps: 726.87146, verif: -1
sort_stream Taille_M: 1560, nbthreads: 1024, numblocks: 65535, Temps: 727.47284, verif: -1
